+--------------------------------------------------------------------------------------------+--------------------------+---------------------------------+---------------------------------------------------------------------------+------------+------------------------+
| Nombre                                                                                     | Marca                    | Tipo                            | Variante                                                                  | Tamaño     | Categoría              |
| Acondicionador Head & Shoulders manzana fresh 300/400 ml                                   | Head & Shoulders         | Acondicionador                  | Manzana Fresh 300/                                                        | 400 ml     | Perfumeria             |
| Acondicionador Head & Shoulders prote ccion caida 300 ml                                   | Head & Shoulders         | Acondicionador                  | Prote Ccion Caida                                                         | 300 ml     | Perfumeria             |
| Acondicionador Head & Shoulders revitalización argan 300 ml                                | Head & Shoulders         | Acondicionador                  | Revitalización Argan                                                      | 300 ml     | Perfumeria             |
| Acondicionador Johnson Baby clasico 400 ml                                                 | Johnson                  | Acondicionador                  | Baby Clasico                                                              | 400 ml     | Bebes Y Niños          |
| Acondicionador Johnson Baby manzanilla claro 200 ml                                        | Johnson                  | Acondicionador                  | Baby Manzanilla Claro                                                     | 200 ml     | Bebes Y Niños          |
| Acondicionador Johnson Baby original 200 ml                                                | Johnson                  | Acondicionador                  | Baby Original                                                             | 200 ml     | Bebes Y Niños          |
| Acondicionador Johnson fragancia prologanda 200 ml                                         | Johnson                  | Acondicionador                  | Fragancia Prologanda                                                      | 200 ml     | Bebes Y Niños          |
| Acondicionador Pantene anticaida x 250 ml                                                  | Pantene                  | Acondicionador                  | Anticaida X                                                               | 250 ml     | Perfumeria             |
| Acondicionador Pantene Pro-V equilibrio 700 ml                                             | Pantene                  | Acondicionador                  | Pro-v Equilibrio                                                          | 700 ml     | Perfumeria             |
| Acondicionador Pantene Pro-V liso infinito 750 ml                                          | Pantene                  | Acondicionador                  | Pro-v Liso Infinito                                                       | 750 ml     | Perfumeria             |
| Acondicionador Pantene Pro-V miracles hidratacion 750 ml                                   | Pantene                  | Acondicionador                  | Pro-v Miracles Hidratacion                                                | 750 ml     | Perfumeria             |
| Acondicionador Pantene Pro-V restauracion 400 ml                                           | Pantene                  | Acondicionador                  | Pro-v Restauracion                                                        | 400 ml     | Perfumeria             |
| Acondicionador Pantene Pro-V volumen 750 ml                                                | Pantene                  | Acondicionador                  | Pro-v Volumen                                                             | 750 ml     | Perfumeria             |
| Acondicionador Plusbelle brillo luminoso 1 lt                                              | Plusbelle                | Acondicionador                  | Brillo Luminoso                                                           | 1 l        | Perfumeria             |
| Acondicionador Plusbelle esencia brillo 700 ml                                             | Plusbelle                | Acondicionador                  | Esencia Brillo                                                            | 700 ml     | Perfumeria             |
| Acondicionador Plusbelle esencia brillo perfecto 700mll                                    | Plusbelle                | Acondicionador                  | Esencia Brillo Perfecto 700mll                                            |            | Perfumeria             |
| Acondicionador Plusbelle esencia control frizz 970 ml                                      | Plusbelle                | Acondicionador                  | Esencia Control Frizz                                                     | 970 ml     | Perfumeria             |
| Acondicionador Plusbelle esencia hidratacion intensa 970 ml                                | Plusbelle                | Acondicionador                  | Esencia Hidratacion Intensa                                               | 970 ml     | Perfumeria             |
| Acondicionador Plusbelle esencia hidratacion profunda 700 ml                               | Plusbelle                | Acondicionador                  | Esencia Hidratacion Profunda                                              | 700 ml     | Perfumeria             |
| Acondicionador Plusbelle esencia hidratacion profunda 700mll                               | Plusbelle                | Acondicionador                  | Esencia Hidratacion Profunda 700mll                                       |            | Perfumeria             |
| Acondicionador Plusbelle esencia largo 300 ml doy pack                                     | Plusbelle                | Acondicionador                  | Esencia Largo                                                             | 300 ml     | Perfumeria             |
| Acondicionador Plusbelle esencia restauracion 300 ml doy pack                              | Plusbelle                | Acondicionador                  | Esencia Restauracion                                                      | 300 ml     | Perfumeria             |
| Acondicionador Plusbelle esencia restauracion 970 ml                                       | Plusbelle                | Acondicionador                  | Esencia Restauracion                                                      | 970 ml     | Perfumeria             |
| Acondicionador Plusbelle esencia saludable 970 ml                                          | Plusbelle                | Acondicionador                  | Esencia Saludable                                                         | 970 ml     | Perfumeria             |
| Acondicionador Plusbelle fuerza antioxidante 1 lt                                          | Plusbelle                | Acondicionador                  | Fuerza Antioxidante                                                       | 1 l        | Perfumeria             |
| Acondicionador Plusbelle hidratacion nutritiva 1 lt                                        | Plusbelle                | Acondicionador                  | Hidratacion Nutritiva                                                     | 1 l        | Perfumeria             |
| Acondicionador Plusbelle nutricion creme 1 lt                                              | Plusbelle                | Acondicionador                  | Nutricion Creme                                                           | 1 l        | Perfumeria             |
| Acondicionador Plusbelle prote ccion 1 lt                                                  | Plusbelle                | Acondicionador                  | Prote Ccion                                                               | 1 l        | Perfumeria             |
| Acondicionador Plusbelle suave/cuidado 1 lt                                                | Plusbelle                | Acondicionador                  | Suave/cuidado                                                             | 1 l        | Perfumeria             |
| Acondicionador Sedal  balance sachet 10 ml                                                 | Sedal                    | Acondicionador                  | Balance                                                                   | 10 ml      | Perfumeria             |
| Acondicionador Sedal ceramidas 190 ml                                                      | Sedal                    | Acondicionador                  | Ceramidas                                                                 | 190 ml     | Perfumeria             |
| Acondicionador Sedal ceramidas 340 ml                                                      | Sedal                    | Acondicionador                  | Ceramidas                                                                 | 340 ml     | Perfumeria             |
| Acondicionador Sedal ceramidas 650 ml                                                      | Sedal                    | Acondicionador                  | Ceramidas                                                                 | 650 ml     | Perfumeria             |
| Acondicionador Sedal ceramidas sachet 10 ml                                                | Sedal                    | Acondicionador                  | Ceramidas                                                                 | 10 ml      | Perfumeria             |
| Acondicionador Sedal colageno 190 ml                                                       | Sedal                    | Acondicionador                  | Colageno                                                                  | 190 ml     | Perfumeria             |
| Acondicionador Sedal colageno 340 ml                                                       | Sedal                    | Acondicionador                  | Colageno                                                                  | 340 ml     | Perfumeria             |
| Acondicionador Sedal crema balance 190 ml                                                  | Sedal                    | Acondicionador                  | Crema Balance                                                             | 190 ml     | Perfumeria             |
| Acondicionador Sedal crema balance 340 ml                                                  | Sedal                    | Acondicionador                  | Crema Balance                                                             | 340 ml     | Perfumeria             |
| Acondicionador Sedal crema balance 650 ml                                                  | Sedal                    | Acondicionador                  | Crema Balance                                                             | 650 ml     | Perfumeria             |
| Acondicionador Sedal hialuronico 190 ml                                                    | Sedal                    | Acondicionador                  | Hialuronico                                                               | 190 ml     | Perfumeria             |
| Acondicionador Sedal hialuronico 340 ml                                                    | Sedal                    | Acondicionador                  | Hialuronico                                                               | 340 ml     | Perfumeria             |
| Acondicionador Sedal liso perfecto 190 ml                                                  | Sedal                    | Acondicionador                  | Liso Perfecto                                                             | 190 ml     | Perfumeria             |
| Acondicionador Sedal liso perfecto 340 ml                                                  | Sedal                    | Acondicionador                  | Liso Perfecto                                                             | 340 ml     | Perfumeria             |
| Acondicionador Sedal liso perfecto 650 ml                                                  | Sedal                    | Acondicionador                  | Liso Perfecto                                                             | 650 ml     | Perfumeria             |
| Acondicionador Sedal luminous uv 190 ml                                                    | Sedal                    | Acondicionador                  | Luminous Uv                                                               | 190 ml     | Perfumeria             |
