+-----------------------------------------------------+----------------------+----------------------------+------------------------------------+-------------------+-----------+
| Nombre                                              | Marca                | Tipo                       | Variante                           | Tamaño            | Categoría |
| Arroz CAÑUELAS L/Fino  500 G                        | Cañuelas             | Arroz                      | L/fino                             | 500 g             | 1_102     |
| Arroz GALLO Carnaroli  5 K                          | Gallo                | Arroz                      | Carnaroli                          | 5 kg              | 1_102     |
| Arroz GALLO ORO Parboil  1 K                        | Gallo Oro            | Arroz                      | Parboil                            | 1 kg              | 1_102     |
| Arroz GALLO ORO Parboil  500 G                      | Gallo Oro            | Arroz                      | Parboil                            | 500 g             | 1_102     |
| Arroz GALLO ORO Parboil (Est) 1 K                   | Gallo Oro            | Arroz                      | Parboil (est)                      | 1 kg              | 1_102     |
| Arroz LUCCHETTI L/Fino  1 K                         | Lucchetti            | Arroz                      | L/fino                             | 1 kg              | 1_102     |
| Arroz LUCCHETTI L/Fino  500 G                       | Lucchetti            | Arroz                      | L/fino                             | 500 g             | 1_102     |
| Arroz LUCCHETTI Parboil  1 K                        | Lucchetti            | Arroz                      | Parboil                            | 1 kg              | 1_102     |
| Arroz LUCCHETTI Parboil  500 G                      | Lucchetti            | Arroz                      | Parboil                            | 500 g             | 1_102     |
| Arroz MARIA L/Fino x  500 G                         | Maria                | Arroz                      | L/fino X                           | 500 g             | 1_102     |
| Arroz MAROLIO L/Fino  500 G                         | Marolio              | Arroz                      | L/fino                             | 500 g             | 1_102     |
| Arroz MOLINOS ALA Doble Carolina  500 G             | Molinos Ala          | Arroz                      | Doble Carolina                     | 500 g             | 1_102     |
| Arroz MOLINOS ALA L/Fino  1 K                       | Molinos Ala          | Arroz                      | L/fino                             | 1 kg              | 1_102     |
| Arroz MOLINOS ALA Largo Fino  500 G                 | Molinos Ala          | Arroz                      | Largo Fino                         | 500 g             | 1_102     |
| Arroz MOLINOS ALA Parboil GS. Dorado 1 K            | Molinos Ala          | Arroz                      | Parboil Gs. Dorado                 | 1 kg              | 1_102     |
| Arroz MOLINOS ALA Parboil GS. Dorado 500 G          | Molinos Ala          | Arroz                      | Parboil Gs. Dorado                 | 500 g             | 1_102     |
| Arroz MONEDA L/Fino  1 K                            | Moneda               | Arroz                      | L/fino                             | 1 kg              | 1_102     |
| Arroz MONEDA L/Fino  500 G                          | Moneda               | Arroz                      | L/fino                             | 500 g             | 1_102     |
| Arroz PRIMOR (00000)L.F  1 K                        | Primor               | Arroz                      | (00000)l.f                         | 1 kg              | 1_102     |
| Arroz TOBOGAN L/Fino (0000)  1 K                    | Tobogan              | Arroz                      | L/fino (0000)                      | 1 kg              | 1_102     |
| Arvejas Part.LISETTA  400 G                         | Lisetta              | Arvejas Part.              |                                    | 400 g             | 1_120     |
| Arvejas Remoj.INCA  350 G                           | Inca                 | Arvejas Remoj.             |                                    | 350 g             | 1_120     |
| Arvejas Remoj.MAROLIO T/R 340 G                     | Marolio              | Arvejas Remoj.             | T/r                                | 340 g             | 1_120     |
| Arvejas Remoj.MOLTO T/R 340 G                       | Molto                | Arvejas Remoj.             | T/r                                | 340 g             | 1_120     |
| Arvejas Remoj.VALLE DE ORO  350 G                   | Valle de Oro         | Arvejas Remoj.             |                                    | 350 g             | 1_120     |
| Atun Desm.CASCABEL Natural 170 G                    | Cascabel             | Atun Desm.                 | Natural                            | 170 g             | 1_109     |
| Atun Lomitos MAROLIO Ac/Agua 170 G                  | Marolio              | Atun Lomitos               | Ac/agua                            | 170 g             | 1_109     |
| Atun Lomitos MAROLIO Natural 170 G                  | Marolio              | Atun Lomitos               | Natural                            | 170 g             | 1_109     |
| Atun Lomitos MOLTO Aceite 170 G                     | Molto                | Atun Lomitos               | Aceite                             | 170 g             | 1_109     |
| Atun Lomitos PUGLISI     Aceite 170 G               | Puglisi              | Atun Lomitos               | Aceite                             | 170 g             | 1_109     |
| Atun Lomitos PUGLISI    Nat. 170 G                  | Puglisi              | Atun Lomitos               | Nat.                               | 170 g             | 1_109     |
| Avena MOL.CAÑUELAS Menu Box Alm&Chips 64 G          | Mol. Cañuelas        | Avena                      | Menu Box Alm&chips                 | 64 g              | 1_108     |
| Avena MOL.CAÑUELAS Menu Box Arandanos 59 G          | Mol. Cañuelas        | Avena                      | Menu Box Arandanos                 | 59 g              | 1_108     |
