key,supplier,sku,name,brand,product_type,variant,weight_g,volume_ml,units_in_name,category_norm,price_unit,price_bulk,stock,scraped_at
PUGLISI|ATUN|W170,maxiconsumo,1718,ATUN PUGLISI NATURAL 170 GR,Puglisi,Atun,Natural,170.0,,,Pescaderia,3761.89,3299.90,En stock,2026-03-06
PUGLISI|ATUN|W170,maxiconsumo,17871,ATUN PUGLISI NATURALSIN SAL 170 GR,Puglisi,Atun,Naturalsin Sal,170.0,,,Pescaderia,,,Disponibilidad crítica,2026-03-06
PUGLISI|ATUN|W170,vital,7790748266204,Atun Puglisi al natural 170 gr,Puglisi,Atun,Al Natural,170.0,,,Almacen,3299.00,158352.00,disponible,2026-03-10
PUGLISI|ATUN|W170,vital,7790748266167,Atun Puglisi en aceite 170 gr,Puglisi,Atun,En Aceite,170.0,,,Almacen,3299.00,158352.00,disponible,2026-03-10
PUGLISI|ATUN|W170,vital,7790748266457,Atun Puglisi en aceite sin sal 170 gr,Puglisi,Atun,En Aceite sin Sal,170.0,,,Almacen,3099.00,74376.00,disponible,2026-03-10
PUGLISI|CABALLA|W380,maxiconsumo,1956,CABALLA PUGLISI ACEITE 380 GR,Puglisi,Caballa,Aceite,380.0,,,Pescaderia,4673.88,4099.89,En stock,2026-03-06
PUGLISI|CABALLA|W380,maxiconsumo,17872,CABALLA PUGLISI ACEITE SIN SAL 380 GR,Puglisi,Caballa,Aceite sin Sal,380.0,,,Pescaderia,4787.88,4199.90,En stock,2026-03-06
PUGLISI|CABALLA|W380,maxiconsumo,1957,CABALLA PUGLISI NATURAL 380 GR,Puglisi,Caballa,Natural,380.0,,,Pescaderia,4673.88,4099.89,En stock,2026-03-06
PUGLISI|CABALLA|W380,maxiconsumo,17873,CABALLA PUGLISI NATURAL SIN SAL 380 GR,Puglisi,Caballa,Natural sin Sal,380.0,,,Pescaderia,4787.88,4199.90,En stock,2026-03-06
PUGLISI|CABALLA|W380,vital,7790748235095,Caballa Puglisi al natural 380 gr,Puglisi,Caballa,Al Natural,380.0,,,Almacen,3919.00,94056.00,disponible,2026-03-10
PUGLISI|CABALLA|W380,vital,7790748235064,Caballa Puglisi en aceite 380 gr,Puglisi,Caballa,En Aceite,380.0,,,Almacen,3919.00,94056.00,disponible,2026-03-10
PUGLISI|MERLUZA|W380,maxiconsumo,17874,MERLUZA PUGLISI ACEITE 380 GR,Puglisi,Merluza,Aceite,380.0,,,Pescaderia,3419.88,2999.89,En stock,2026-03-06
PUGLISI|MERLUZA|W380,maxiconsumo,17875,MERLUZA PUGLISI NATURAL 380 GR,Puglisi,Merluza,Natural,380.0,,,Pescaderia,3419.88,2999.89,En stock,2026-03-06
PUGLISI|MERLUZA|W380,vital,7790748235187,Merluza Puglisi al natural 380 gr,Puglisi,Merluza,Al Natural,380.0,,,Almacen,2699.00,64776.00,disponible,2026-03-10
PUGLISI|MERLUZA|W380,vital,7790748235149,Merluza Puglisi en aceite 380 gr,Puglisi,Merluza,En Aceite,380.0,,,Almacen,2699.00,64776.00,disponible,2026-03-10
PUGLISI|SARDINA|W170,maxiconsumo,369,SARDINA PUGLISI ACEITE 170 GR,Puglisi,Sardina,Aceite,170.0,,,Pescaderia,3875.88,3399.89,En stock,2026-03-06
PUGLISI|SARDINA|W170,maxiconsumo,341,SARDINA PUGLISI TOMATE 170 GR,Puglisi,Sardina,Tomate,170.0,,,Pescaderia,3875.88,3399.89,En stock,2026-03-06
PUGLISI|SARDINA|W170,vital,7790748235231,Sardina Puglisi en aceite 170 gr,Puglisi,Sardina,En Aceite,170.0,,,Almacen,3518.99,84455.76,disponible,2026-03-10
PUREZA|HARINA|W1000,maxiconsumo,5916,"HARINA PUREZA ""0000"" 1 KG",Pureza,Harina,"""0000""",1000.0,,,Harinas De Trigo,1105.68,969.89,En stock,2026-03-06
PUREZA|HARINA|W1000,maxiconsumo,5913,HARINA PUREZA INTEGRAL 1 KG,Pureza,Harina,Integral,1000.0,,,Harinas De Trigo,,,Disponibilidad crítica,2026-03-06
PUREZA|HARINA|W1000,maxiconsumo,5917,HARINA PUREZA LEUDANTE 1 KG,Pureza,Harina,Leudante,1000.0,,,Harinas De Trigo,1345.08,1179.90,En stock,2026-03-06
PUREZA|HARINA|W1000,maxiconsumo,26693,HARINA PUREZA LEUDANTE INTEGRAL 1 KG,Pureza,Harina,Leudante Integral,1000.0,,,Harinas De Trigo,1709.89,1499.90,En stock,2026-03-06
PUREZA|HARINA|W1000,maxiconsumo,27677,HARINA PUREZA MASA MADRE 1 KG,Pureza,Harina,Masa Madre,1000.0,,,Harinas De Trigo,,,Disponibilidad crítica,2026-03-06
PUREZA|HARINA|W1000,maxiconsumo,14306,HARINA PUREZA PAN CASERO 1 KG,Pureza,Harina,Pan Casero,1000.0,,,Harinas De Trigo,,,Disponibilidad crítica,2026-03-06
PUREZA|HARINA|W1000,maxiconsumo,26970,HARINA PUREZA PIZZA INTEGRAL 1 KG,Pureza,Harina,Pizza Integral,1000.0,,,Harinas De Trigo,1709.89,1499.90,En stock,2026-03-06
PUREZA|HARINA|W1000,maxiconsumo,20846,HARINA PUREZA PIZZAS CASERAS 1 KG,Pureza,Harina,Pizzas Caseras,1000.0,,,Harinas De Trigo,,,Disponibilidad crítica,2026-03-06
PUREZA|HARINA|W1000,santamaria,32556,Harina PUREZA (0000) * 1 K,Pureza,Harina,(0000),1000.0,,,Comestibles / Harinas de Trigo,864.07,954.80,uxb:10,2026-03-10
