+----------------------------------------------------+-----------------------+---------------------------+---------------------------+----------+------------------------------+
| Nombre                                             | Marca                 | Tipo                      | Variante                  | Tamaño   | Categoría                    |
| ACEITUNA CASTELL NEGRA 90 Grs                      | CASTELL               | Aceituna                  | NEGRA                     | 90 g     | Ofertas                      |
| ACEITUNA CASTELL RELLENA 170 Grs                   | CASTELL               | Aceituna                  | RELLENA                   | 170 g    | Ofertas                      |
| ACEITUNA CASTELL RELLENA 90 Grs                    | CASTELL               | Aceituna                  | RELLENA                   | 90 g     | Ofertas                      |
| ACEITUNA CASTELL RODAJA 140 Grs                    | CASTELL               | Aceituna                  | RODAJA                    | 140 g    | Ofertas                      |
| ACEITUNA CASTELL RODAJA 70 Grs                     | CASTELL               | Aceituna                  | RODAJA                    | 70 g     | Ofertas                      |
| ACEITUNA CASTELL S/CAROZO 150 Grs                  | CASTELL               | Aceituna                  | S/CAROZO                  | 150 g    | Ofertas                      |
| ACEITUNA CASTELL S/CAROZO 400 Grs                  | CASTELL               | Aceituna                  | S/CAROZO                  | 400 g    | Ofertas                      |
| ACEITUNA CASTELL S/CAROZO 80 Grs                   | CASTELL               | Aceituna                  | S/CAROZO                  | 80 g     | Encurtidos                   |
| ACEITUNA CASTELL XL 170 Grs                        | CASTELL               | Aceituna                  | XL                        | 170 g    | Ofertas                      |
| ACEITUNA CASTELL XL S/CAROZO 140 Grs               | CASTELL               | Aceituna                  | XL S/CAROZO               | 140 g    | Ofertas                      |
| ACEITUNA CEBILA 100 Grs                            | CEBILA                | Aceituna                  |                           | 100 g    | Encurtidos                   |
| ACEITUNA CEBILA D/P 180 Grs                        | CEBILA                | Aceituna                  | D/P                       | 180 g    | Encurtidos                   |
| ACEITUNA CEBILA S/CAROZO 150 Grs                   | CEBILA                | Aceituna                  | S/CAROZO                  | 150 g    | Ofertas                      |
| ACEITUNA CEBILA S/CAROZO 80 Grs                    | CEBILA                | Aceituna                  | S/CAROZO                  | 80 g     | Encurtidos                   |
| ACEITUNA DON NICANOR BALDE 5 Kgs                   | DON NICANOR           | Aceituna                  | BALDE                     | 5 kg     | Gastronomia                  |
| ACEITUNA DON NICANOR S/CAROZO 140 Grs              | DON NICANOR           | Aceituna                  | S/CAROZO                  | 140 g    | Ofertas                      |
| ACEITUNA DON NICANOR S/CAROZO 70 Grs               | DON NICANOR           | Aceituna                  | S/CAROZO                  | 70 g     | Ofertas                      |
| ACEITUNA DON NICANOR VERDE 170 Grs                 | DON NICANOR           | Aceituna                  | VERDE                     | 170 g    | Ofertas                      |
| ACEITUNA DON NICANOR VERDE 90 Grs                  | DON NICANOR           | Aceituna                  | VERDE                     | 90 g     | Ofertas                      |
| ACEITUNA MORIXE RODAJA 300 Grs                     | MORIXE                | Aceituna                  | RODAJA                    | 300 g    | Alimentos 1                  |
| ACEITUNA MORIXE S/CAROZO 300 Grs                   | MORIXE                | Aceituna                  | S/CAROZO                  | 300 g    | Alimentos 1                  |
| ACEITUNA MORIXE VERDE 300 Grs                      | MORIXE                | Aceituna                  | VERDE                     | 300 g    | Alimentos 1                  |
| ACEITUNA NUCETE D/P 100 Grs                        | NUCETE                | Aceituna                  | D/P                       | 100 g    | Encurtidos                   |
| ACEITUNA NUCETE D/P 180 Grs                        | NUCETE                | Aceituna                  | D/P                       | 180 g    | Ofertas                      |
| ACEITUNA NUCETE D/P 200 Grs                        | NUCETE                | Aceituna                  | D/P                       | 200 g    | Encurtidos                   |
| ACEITUNA NUCETE NEGRA D/P 100 Grs                  | NUCETE                | Aceituna                  | NEGRA D/P                 | 100 g    | Encurtidos                   |
| ACEITUNA NUCETE NEGRA D/P 180 Grs                  | NUCETE                | Aceituna                  | NEGRA D/P                 | 180 g    | Encurtidos                   |
| ACEITUNA NUCETE NEGRA FRASCO 200 Grs               | NUCETE                | Aceituna                  | NEGRA FRASCO              | 200 g    | Encurtidos                   |
| ACEITUNA NUCETE RELLENA D/P 180 Grs                | NUCETE                | Aceituna                  | RELLENA D/P               | 180 g    | Encurtidos                   |
| ACEITUNA NUCETE RELLENA FRASCO 200 Grs             | NUCETE                | Aceituna                  | RELLENA FRASCO            | 200 g    | Encurtidos                   |
| ACEITUNA NUCETE RODAJA D/P 150 Grs                 | NUCETE                | Aceituna                  | RODAJA D/P                | 150 g    | Encurtidos                   |
| ACEITUNA NUCETE S/CAROZO 150 Grs                   | NUCETE                | Aceituna                  | S/CAROZO                  | 150 g    | Ofertas                      |
| ACEITUNA NUCETE S/CAROZO 80 Grs                    | NUCETE                | Aceituna                  | S/CAROZO                  | 80 g     | Encurtidos                   |
| ACEITUNA OLIOVITA 220 Grs                          | OLIOVITA              | Aceituna                  |                           | 220 g    | Alimentos 1                  |
| ACEITUNA OLIOVITA 300 Grs                          | OLIOVITA              | Aceituna                  |                           | 300 g    | Alimentos 1                  |
| ACEITUNA OLIOVITA BALDE 3 Kgs                      | OLIOVITA              | Aceituna                  | BALDE                     | 3 kg     | Gastronomia                  |
| ACEITUNA OLIOVITA BALDE 8 Kgs                      | OLIOVITA              | Aceituna                  | BALDE                     | 8 kg     | Gastronomia                  |
| ACEITUNA OLIOVITA BALDE RODAJA 4 Kgs               | OLIOVITA              | Aceituna                  | BALDE RODAJA              | 4 kg     | Gastronomia                  |
| ACEITUNA OLIOVITA BALDE RODAJA 8 Kgs               | OLIOVITA              | Aceituna                  | BALDE RODAJA              | 8 kg     | Gastronomia                  |
| ACEITUNA OLIOVITA BALDE S/CAROZO 3 Kgs             | OLIOVITA              | Aceituna                  | BALDE S/CAROZO            | 3 kg     | Gastronomia                  |
| ACEITUNA OLIOVITA BALDE S/CAROZO 8 Kgs             | OLIOVITA              | Aceituna                  | BALDE S/CAROZO            | 8 kg     | Gastronomia                  |
| ACEITUNA OLIOVITA RODAJA 220 Grs                   | OLIOVITA              | Aceituna                  | RODAJA                    | 220 g    | Alimentos 1                  |
| ACEITUNA OLIOVITA RODAJA 300 Grs                   | OLIOVITA              | Aceituna                  | RODAJA                    | 300 g    | Ofertas                      |
| ACEITUNA OLIOVITA S/CAROZO 220 Grs                 | OLIOVITA              | Aceituna                  | S/CAROZO                  | 220 g    | Ofertas                      |
| ACEITUNA OLIOVITA S/CAROZO 300 Grs                 | OLIOVITA              | Aceituna                  | S/CAROZO                  | 300 g    | Encurtidos                   |
| ACEITUNA TIYUCA RELLENA AJO 200 Grs                | TIYUCA                | Aceituna                  | RELLENA AJO               | 200 g    | Tiyuca                       |
| ACEITUNA TIYUCA RELLENA ANCHOAS 200 Grs            | TIYUCA                | Aceituna                  | RELLENA ANCHOAS           | 200 g    | Tiyuca                       |
| ACEITUNA TIYUCA RELLENA ATUN 200 Grs               | TIYUCA                | Aceituna                  | RELLENA ATUN              | 200 g    | Tiyuca                       |
| ACEITUNA TIYUCA RELLENA SALMON 200 Grs             | TIYUCA                | Aceituna                  | RELLENA SALMON            | 200 g    | Tiyuca                       |
| ACEITUNA TIYUCA S/CAROZO 142 Grs                   | TIYUCA                | Aceituna                  | S/CAROZO                  | 142 g    | Tiyuca                       |
| ACEITUNA TIYUCA S/CAROZO 230 Grs                   | TIYUCA                | Aceituna                  | S/CAROZO                  | 230 g    | Tiyuca                       |
| ACEITUNA TIYUCA S/CAROZO 330 Grs                   | TIYUCA                | Aceituna                  | S/CAROZO                  | 330 g    | Tiyuca                       |
| ACEITUNA TIYUCA VERDE 142 Grs                      | TIYUCA                | Aceituna                  | VERDE                     | 142 g    | Tiyuca                       |
| ACEITUNA TIYUCA VERDE 235 Grs                      | TIYUCA                | Aceituna                  | VERDE                     | 235 g    | Tiyuca                       |
| ACEITUNA TIYUCA VERDE 330 Grs                      | TIYUCA                | Aceituna                  | VERDE                     | 330 g    | Tiyuca                       |
| ACEITUNAS MORIXE VERDE 300 Grs                     | MORIXE                | Aceitunas                 | VERDE                     | 300 g    | Ofertas                      |
