name,sku,supplier,category,price_unit,price_bulk,scraped_at
ALFAJOR JORGITO BLANCO AGRUPADOS,6894,maxiconsumo,Almacen > Golosinas > Alfajores Y Conitos,,,2026-03-06
ALFAJOR JORGITO MINI BLANCO 6 UN,6010,maxiconsumo,Almacen > Golosinas > Alfajores Y Conitos,,,2026-03-06
ALFAJOR JORGITO MINI CHOCOLATE BLANCO 6 UN,19099,maxiconsumo,Almacen > Golosinas > Alfajores Y Conitos,,,2026-03-06
ALFAJOR JORGITO MINI FRUTA 6 UN,20769,maxiconsumo,Almacen > Golosinas > Alfajores Y Conitos,,,2026-03-06
ALFAJOR JORGITO MINI MOUSSE 6 UN,20768,maxiconsumo,Almacen > Golosinas > Alfajores Y Conitos,,,2026-03-06
ALFAJOR JORGITO MINI NEGRO 6 UN,6013,maxiconsumo,Almacen > Golosinas > Alfajores Y Conitos,,,2026-03-06
ALFAJOR JORGITO NEGRO 55 GR,6875,maxiconsumo,Almacen > Golosinas > Alfajores Y Conitos,1003.09,879.90,2026-03-06
ALFAJOR JORGITO NEGRO AGRUPADOS,6895,maxiconsumo,Almacen > Golosinas > Alfajores Y Conitos,,,2026-03-06
ALFAJOR MILKA MOUSSE 42 GR,7138,maxiconsumo,Almacen > Golosinas > Alfajores Y Conitos,,,2026-03-06
ALFAJOR MILKA TRIPE MOUSSE 55 GR,7109,maxiconsumo,Almacen > Golosinas > Alfajores Y Conitos,,,2026-03-06
ALFAJOR MILKA TRIPLE LECHE 70 GR,7137,maxiconsumo,Almacen > Golosinas > Alfajores Y Conitos,,,2026-03-06
ALFAJOR MOGY BLANCO 38 GR,22788,maxiconsumo,Almacen > Golosinas > Alfajores Y Conitos,,,2026-03-06
