+----------------------------------------------------------------------------+-------------------------+-----------------------------+-------------------------------------------------+---------+--------------------------------+
| Nombre                                                                     | Marca                   | Tipo                        | Variante                                        | Tamaño  | Categoría                      |
| AIR WICK  Desod. Ambiente Citric. Repuesto 250 Ml                          | AIR WICK                | Desodorante                 | Ambiente Citric. Repuesto                       | 250 ml  | Desodorantes Y Desinfectantes  |
| AIR WICK  Desod. Ambiente Lavanda Repuesto 1 Uni                           | AIR WICK                | Desodorante                 | Ambiente Lavanda Repuesto                       | 1 uni   | Desodorantes Y Desinfectantes  |
| AIRE PUR  Antihumedad Aparato Basic 75 G                                   | AIRE PUR                | Antihumedad                 | Aparato Basic                                   | 75 g    | Desodorantes Y Desinfectantes  |
| AIRE PUR  Antihumedad Max 3X2 3 Uni                                        | AIRE PUR                | Antihumedad                 | Max 3X2                                         | 3 uni   | Desodorantes Y Desinfectantes  |
| AKTIOL  Repelente Extra Duración  143 Ml                                   | AKTIOL                  | Repelente                   | Extra Duración                                  | 143 ml  | Insecticidas                   |
| ALA  Det. Cremoso Flores Bcas. 750 Ml                                      | ALA                     | Detergente                  | Cremoso Flores Bcas.                            | 750 ml  | Lavavajillas                   |
| ALA  Det. Cremoso Limón 750 Ml                                             | ALA                     | Detergente                  | Cremoso Limón                                   | 750 ml  | Lavavajillas                   |
| ALA  Det. Lavavaj. Limón Dp 450 Ml                                         | ALA                     | Detergente                  | Lavavaj. Limón Dp                               | 450 ml  | Lavavajillas                   |
| ALA  Jab.Líq.P/Ropa Dp Ecolavado 3 Lts                                     | ALA                     | Jabón Líquido P/Ropa        | Dp Ecolavado                                    | 3 l     | Detergentes Para La Ropa       |
| ALA  Jab.Líq.P/Ropa Dp Ecolavado 800 Ml                                    | ALA                     | Jabón Líquido P/Ropa        | Dp Ecolavado                                    | 800 ml  | Detergentes Para La Ropa       |
| ALA  Jab.Líq.P/Ropa Dp Max.Blanc. 800 Ml                                   | ALA                     | Jabón Líquido P/Ropa        | Dp Max.Blanc.                                   | 800 ml  | Detergentes Para La Ropa       |
| ALA  Jab.Líq.P/Ropa Ecolavado Pro 5 Lts                                    | ALA                     | Jabón Líquido P/Ropa        | Ecolavado Pro                                   | 5 l     | Detergentes Para La Ropa       |
| ALA  Jab.Líq.P/Ropa P/Diluir Blancos Mas Bl. 500 Ml                        | ALA                     | Jabón Líquido P/Ropa        | P/Diluir Blancos Mas Bl.                        | 500 ml  | Detergentes Para La Ropa       |
| ALA  Jab.Líq.P/Ropa P/Diluir C/Bicarb. 500 Ml                              | ALA                     | Jabón Líquido P/Ropa        | P/Diluir C/Bicarb.                              | 500 ml  | Detergentes Para La Ropa       |
| ALA  Jab.Líq.P/Ropa P/Diluir Ecolavado 500 Ml                              | ALA                     | Jabón Líquido P/Ropa        | P/Diluir Ecolavado                              | 500 ml  | Detergentes Para La Ropa       |
| ALA  Jab.Pvo.P/Ropa Matic Blancos 2,50 Kg                                  | ALA                     | Jabón en Polvo P/Ropa       | Matic Blancos                                   | 2.5 kg  | Detergentes Para La Ropa       |
| ALA  Jab.Pvo.P/Ropa Matic Blancos 600 G                                    | ALA                     | Jabón en Polvo P/Ropa       | Matic Blancos                                   | 600 g   | Detergentes Para La Ropa       |
| ALA  Jab.Pvo.P/Ropa Reg. Con Bicarbonato 400 G                             | ALA                     | Jabón en Polvo P/Ropa       | Reg. Con Bicarbonato                            | 400 g   | Detergentes Para La Ropa       |
| ALA  Jab.Pvo.P/Ropa Reg. Ecolavado 3 Kg                                    | ALA                     | Jabón en Polvo P/Ropa       | Reg. Ecolavado                                  | 3 kg    | Detergentes Para La Ropa       |
